Dato;Tekst;Rente fra;Beløb;Saldo
19.02.2024;25 elkedler Kbh;19.02.2024;-296,00;23.529,94
16.02.2024;Tilbageoverførsel;16.02.2024;462,71;23.825,94
15.02.2024;24 tutortrøjer;15.02.2024;-3.000,00;23.363,23
05.02.2024;23 semesterstart snacks;05.02.2024;-535,73;26.363,23
29.01.2024;Fejlbrug af kort;29.01.2024;-462,71;26.898,96
29.12.2023;Rente;01.01.2024;12,25;27.361,67
28.12.2023;Gebyr ovf stand;28.12.2023;-14,00;27.349,42
28.12.2023;Kontogebyr;28.12.2023;-250,00;27.363,42
15.12.2023;18 pebernødder;15.12.2023;-90,33;27.613,42
15.12.2023;19 fryseposer;15.12.2023;-19,75;27.703,75
14.12.2023;20/21 julesmåkager;14.12.2023;-463,05;27.723,50
14.12.2023;22 DVML Julefrokost;14.12.2023;-1.440,00;28.186,55
11.12.2023;17 bestyrelsesmiddag;11.12.2023;-1.302,00;29.626,55
07.12.2023;02 CONNECT.IT;07.12.2023;16.000,00;30.928,55
04.12.2023;16 ASCK Pizzaften;04.12.2023;-1.900,00;14.928,55
04.12.2023;15 brætsp Novem Snac;04.12.2023;-491,40;16.828,55
04.12.2023;14 valgkage;04.12.2023;-3.390,00;17.319,95
01.12.2023;G2 Gebyr;01.12.2023;-200,00;20.709,95
01.12.2023;13 Brætspilsaften Novembner;01.12.2023;-3.600,00;20.909,95
30.11.2023;01 FALKE, FAKTURA NR. 6;30.11.2023;100,00;24.509,95
29.11.2023;12 servietter;29.11.2023;-101,38;24.409,95
28.11.2023;11 Fjulefrokost;28.11.2023;-4.000,00;24.511,33
17.11.2023;10 SW Kbh Julefrokos;17.11.2023;-2.500,00;28.511,33
13.11.2023;10 IDA Kbh SW;13.11.2023;-4.200,00;31.011,33
10.11.2023;09 - Facking Tilskud;10.11.2023;-625,00;35.211,33
10.11.2023;08 Flan Trøjer;10.11.2023;-3.750,00;35.836,33
08.11.2023;07 SW Aal Studiestar;08.11.2023;-4.245,00;39.586,33
08.11.2023;OVF. FRA IDA;08.11.2023;4.200,00;43.831,33
27.10.2023;FEJL VED BRUG AF KORT;27.10.2023;228,98;39.631,33
27.10.2023;FEJL VED BRUG AF KORT;27.10.2023;422,00;39.402,35
26.10.2023;06 Snacks Bræt Aal;26.10.2023;-898,75;38.980,35
26.10.2023;05 Sandwich bræt Aal;26.10.2023;-2.100,00;39.879,10
25.10.2023;DK           MAGASIN.DK;25.10.2023;10,00;41.979,10
25.10.2023;             MOBILEPAY;25.10.2023;-200,00;41.969,10
24.10.2023;             MOBILEPAY;24.10.2023;-91,00;42.169,10
23.10.2023;             MOBILEPAY;23.10.2023;-131,30;42.260,10
23.10.2023;DK           MAGASIN.DK;23.10.2023;-238,98;42.391,40
18.10.2023;04 Brætspil Cph;18.10.2023;-999,75;42.630,38
18.10.2023;03 Brætspil Aal;18.10.2023;-1.919,65;43.630,13
12.10.2023;02 Ikea Gavekort SW;12.10.2023;-200,00;45.549,78
11.10.2023;00 Godtgørelse SuperComputerKlu;11.10.2023;532,40;45.749,78
10.10.2023;G1 Overført 2600349603;10.10.2023;-3,26;45.217,38
09.10.2023;01 SuperCompKlub konto;09.10.2023;-532,40;45.220,64
05.10.2023;00 Pizza til generelforamling;05.10.2023;-1.043,00;45.753,04
03.10.2023;27 FiXD karaoke;03.10.2023;-1.000,00;46.796,04
